oiii_hbeta_ratio,hbeta_hgamma_ratio,oiii_hgamma_ratio,h_beta_eqw,h_beta_flux,z,e_bv_sfd
1.585048,1.0953,1.736103,-0.3591314,35.91306,0.0597778,0.01568531
1.151556,1.169181,1.346378,-0.4272045,51.26057,0.05100999,0.04346284
0.3264846,1.903719,0.6215349,-7.999559,969.6373,0.2308216,0.04131947
0.7229698,2.35134,1.699948,-22.34332,3461.101,0.1027759,0.01297909
3.893912,0.1466813,0.5711639,-0.1523006,6.356665,0.06062174,0.03155204
0.341556,1.89412,0.6469482,-22.56711,1109.689,0.1112474,0.0229581
1.842156,2.127565,3.919306,-14.36981,1780.146,0.1842309,0.01408172
0.1243922,2.379898,0.2960408,-21.6249,4215.459,0.2248686,0.02253275
1.375886,1.321995,1.818914,-0.3869972,44.48927,0.06168568,0.007514635
1.19632,1.44043,1.723215,-5.379469,1357.127,0.07700984,0.0183279
1.083936,1.60604,1.740844,-0.3709791,49.93454,0.05387033,0.02537296
1.305768,0.8033115,1.048939,-0.4854688,33.89186,0.0581607,0.01662156
1.031102,1.964605,2.025708,-10.43072,2368.552,0.2402315,0.02099199
0.2246707,1.030365,0.2314928,-0.9988101,116.535,0.05209216,0.03632782
0.3640934,2.067431,0.7527382,-12.56096,1074.858,0.2251655,0.009952372
3.567403,1.815665,6.47721,-27.72459,4169.275,0.09967799,0.01186498
0.4835957,1.837952,0.8888258,-0.3664747,39.74822,0.05100438,0.04467341
0.6722579,2.341709,1.574232,-13.2989,1311.827,0.1341881,0.03179598
0.03917255,0.6555409,0.02567921,-3.19212,523.0571,0.1933094,0.1242009
0.6793849,0.7471476,0.5076008,-0.2624714,14.40732,0.06408318,0.02952423
0.3135245,2.142452,0.6717112,-16.9973,2409.323,0.204809,0.02150116
0.4724707,2.291722,1.082772,-12.84545,2892.682,0.2527351,0.04490913
0.6198953,2.155445,1.33615,-19.79977,3727.647,0.1337497,0.02868453
0.4702603,1.92204,0.903859,-11.47021,1308.8,0.1863378,0.01489416
1.205465,1.568551,1.890834,-7.393268,1984.522,0.1829528,0.01161656
0.905154,11.21777,10.15381,-0.5293303,29.21882,0.07246289,0.03426394
1.375658,0.5682995,0.781786,-0.3536663,22.63772,0.06294216,0.02614157
0.8842926,0.9598599,0.848797,-0.4526071,37.60495,0.051523,0.02354283
1.914447,2.120395,4.059383,-20.45918,4795.136,0.1331618,0.04058812
0.3409975,2.133412,0.7274879,-24.37148,1593.179,0.2217153,0.02738428
3.469231,1.166766,4.04778,-5.900719,1084.483,0.09166554,0.03551636
