#Table1
w1mpro,w2mpro,w3mpro,w1_w2_color,w2_w3_color,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
11.023,11.056,8.826,-0.03299999,2.23,1.752369,1.109017,GALAXY,BROADLINE
12.887,12.72,8.846,0.1669998,3.874001,1.868487,0.1694929,GALAXY,STARBURST
10.255,10.279,8.853,-0.02400017,1.426001,2.106949,0.9232138,GALAXY,
10.909,10.991,10.181,-0.08199978,0.8100004,1.710328,1.297817,GALAXY,AGN BROADLINE
10.994,11.104,10.183,-0.1099997,0.9210005,1.695491,1.285296,GALAXY,BROADLINE
11.017,11.127,10.186,-0.1099997,0.941,1.895636,1.519298,GALAXY,BROADLINE
10.92,10.97,10.188,-0.05000019,0.7820005,0.9259844,1.26108,GALAXY,AGN BROADLINE
11.138,11.231,10.193,-0.09300041,1.038,1.850416,1.405364,GALAXY,
11.065,11.136,10.194,-0.0710001,0.9419994,2.60209,1.671134,GALAXY,BROADLINE
11.468,11.535,10.815,-0.06699944,0.7200003,1.302415,1.39916,GALAXY,BROADLINE
12.485,12.498,11.386,-0.01300049,1.112,0.2358176,0.8458182,GALAXY,
12.455,12.482,11.591,-0.02700043,0.8910007,2.797751,1.616408,GALAXY,BROADLINE
13.036,13.022,12.211,0.01399994,0.8109999,3.917597,0.8907523,GALAXY,BROADLINE
10.996,11.047,8.609,-0.05099964,2.438,3.043717,1.244104,GALAXY,
11.256,11.289,8.611,-0.03299999,2.677999,0.6788923,0.6240773,GALAXY,STARFORMING BROADLINE
12.819,12.673,8.628,0.1459999,4.045,1.602916,0.1889301,GALAXY,STARBURST
11.316,11.318,8.63,-0.001999855,2.688,1.996615,1.384289,GALAXY,BROADLINE
10.623,10.584,8.646,0.03900051,1.938,1.99909,1.263094,GALAXY,AGN BROADLINE
12.268,12.104,8.65,0.1639996,3.454,2.386824,0.1175755,GALAXY,STARBURST
12.652,12.441,8.654,0.2110004,3.787,0.2075562,0.4083667,GALAXY,STARFORMING
11.517,11.637,10.437,-0.1199999,1.2,1.882579,0.767636,GALAXY,
11.458,11.509,10.442,-0.05099964,1.066999,1.573813,1.204832,GALAXY,BROADLINE
10.961,11.096,10.445,-0.1349993,0.651,2.23209,0.9949582,GALAXY,BROADLINE
10.203,10.221,8.55,-0.01799965,1.671,1.600317,1.061843,GALAXY,AGN
12.957,12.749,8.552,0.2080002,4.197,0.5235578,0.3602149,GALAXY,STARBURST
10.942,10.97,8.555,-0.02799988,2.415,5.404172,0.6571358,GALAXY,AGN
10.783,10.797,8.566,-0.01399994,2.231,3.782712,1.30895,GALAXY,
12.56,12.443,8.573,0.1170006,3.87,1.294995,0.3111329,GALAXY,STARBURST
10.882,10.838,8.586,0.04399967,2.252,1.450977,1.068082,GALAXY,BROADLINE
11.584,11.645,10.496,-0.06100082,1.149,1.582005,1.138871,GALAXY,BROADLINE
11.206,11.246,10.497,-0.03999996,0.7490005,1.500493,1.061551,GALAXY,BROADLINE
11.66,11.747,10.497,-0.08699989,1.25,0.6471201,0.6119986,GALAXY,
12.175,12.211,10.506,-0.03600025,1.705001,1.135082,1.068576,GALAXY,BROADLINE
12.102,12.033,11.505,0.06900024,0.5279999,1.71858,1.440435,GALAXY,
12.832,12.495,8.231,0.3369999,4.264,1.801547,0.2211242,GALAXY,STARBURST
10.049,10.099,8.234,-0.05000019,1.865,1.697558,1.281048,GALAXY,BROADLINE
10.286,10.329,8.237,-0.04300022,2.092,0.4204105,0.518176,GALAXY,STARFORMING BROADLINE
10.691,10.783,8.241,-0.09200001,2.542,0.9125164,0.736582,GALAXY,
11.032,10.963,8.245,0.06899929,2.718,2.7491,1.366086,GALAXY,BROADLINE
10.455,10.437,8.25,0.01799965,2.187,1.75859,0.4546341,GALAXY,STARFORMING BROADLINE
10.769,10.782,8.252,-0.01299953,2.53,1.794522,1.416695,GALAXY,AGN BROADLINE
10.102,10.119,8.257,-0.0170002,1.862,1.446925,1.248663,GALAXY,BROADLINE
11.126,11.119,8.259,0.006999969,2.860001,1.036471,1.325075,GALAXY,AGN
11.798,11.409,8.262,0.3889999,3.147,2.091372,0.7555129,GALAXY,AGN
9.559,9.576,8.264,-0.0170002,1.312,2.170413,1.411425,GALAXY,BROADLINE
11.316,11.291,8.265,0.02499962,3.026,0.4277497,0.5117209,GALAXY,STARFORMING
10.179,10.193,8.266,-0.01399994,1.927,1.369637,1.571311,GALAXY,AGN BROADLINE
12.582,12.381,8.268,0.2010002,4.113,1.201385,0.2868268,GALAXY,STARBURST
12.456,12.306,8.279,0.1500006,4.026999,0.3181963,0.329274,GALAXY,STARBURST
12.26,12.101,8.287,0.1590004,3.814,0.7675436,0.4762217,GALAXY,STARFORMING
10.881,10.915,8.288,-0.0340004,2.627,0.4147501,0.6354611,GALAXY,STARFORMING BROADLINE
10.271,10.246,8.291,0.02499962,1.955,1.689514,1.287842,GALAXY,
11.271,11.32,8.294,-0.04899979,3.026,1.588831,1.731657,GALAXY,BROADLINE
12.426,12.492,11.139,-0.06599998,1.353,3.668276,0.5600601,GALAXY,
11.658,11.598,8.066,0.06000042,3.532,0.1670349,0.425782,GALAXY,STARFORMING
11.757,11.617,8.072,0.1400003,3.545,0.2060608,0.5171953,GALAXY,STARFORMING
11.583,11.523,8.086,0.06000042,3.436999,1.924772,0.1752811,GALAXY,STARBURST
12.553,12.085,8.093,0.4680004,3.992,2.778221,0.3299392,GALAXY,STARBURST
10.941,10.911,8.111,0.02999973,2.8,1.565205,1.008951,GALAXY,AGN BROADLINE
10.502,10.467,8.112,0.03499985,2.355,3.171709,0.8800386,GALAXY,AGN
11.021,11.027,8.122,-0.006000519,2.905001,0.3085201,0.4692313,GALAXY,STARFORMING
11.773,11.455,8.124,0.3179998,3.331,0.7282339,0.6332493,GALAXY,STARFORMING
13.275,12.715,8.128,0.5599995,4.587,6.391326,0.02034074,GALAXY,STARBURST
10.889,10.839,8.13,0.05000019,2.709,0.5894416,0.8541365,GALAXY,STARFORMING BROADLINE
10.627,10.655,8.141,-0.02799988,2.514,0.3849782,0.5889753,GALAXY,STARFORMING BROADLINE
11.548,11.448,8.142,0.1000004,3.306,1.181731,0.6831246,GALAXY,STARFORMING
10.661,10.716,8.145,-0.05499935,2.570999,1.957628,0.7050808,GALAXY,AGN BROADLINE
10.823,10.898,10.335,-0.07499981,0.5629997,4.020389,1.102081,GALAXY,BROADLINE
12.327,12.358,10.345,-0.03100014,2.013,1.158132,0.2845106,GALAXY,STARFORMING
11.583,11.639,10.993,-0.05599976,0.6459999,0.8953645,0.9945053,GALAXY,
12.224,12.308,11.659,-0.08399963,0.6489992,1.614883,1.035519,GALAXY,
12.701,12.737,12.068,-0.03600025,0.6690006,1.176355,0.6368278,GALAXY,BROADLINE
10.615,10.613,8.366,0.001999855,2.247,1.88635,1.703417,GALAXY,AGN
10.77,10.811,8.371,-0.04099941,2.44,2.231518,1.756902,GALAXY,BROADLINE
10.603,10.599,8.373,0.00399971,2.226,1.413989,1.588439,GALAXY,AGN BROADLINE
11.423,11.322,8.374,0.1010008,2.948,2.92695,0.1184796,GALAXY,STARBURST
11.457,11.42,8.38,0.0369997,3.04,0.3020041,0.5747992,GALAXY,STARFORMING
12.36,12.263,8.383,0.09700012,3.879999,0.2086878,0.5659464,GALAXY,STARFORMING
11.658,11.591,8.386,0.06700039,3.205,0.2712637,0.4669144,GALAXY,STARFORMING
11.669,11.629,8.388,0.03999996,3.241,0.5097627,0.4540138,GALAXY,STARFORMING
11.343,11.323,8.389,0.02000046,2.934,0.4688093,0.6744151,GALAXY,STARFORMING BROADLINE
12.033,11.989,8.392,0.04399967,3.597,0.954406,0.2736437,GALAXY,STARBURST
11.323,11.321,8.394,0.001999855,2.927,0.2535793,0.450146,GALAXY,STARFORMING
11.092,10.94,8.402,0.1520004,2.537999,7.693589,1.526586,GALAXY,BROADLINE
11.693,11.638,8.402,0.05500031,3.235999,0.5499052,0.5864994,GALAXY,STARFORMING
