# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.6692 1.6769 11.2957 0.4370 33.6545 0.0039 4.1656 0.1429 7.7401 4.3636 6.4101 4.0662 10.0473 13.5203 42.2338 43.9044 44.1609 43.2185 0.8291 44.0259 44.2829 0.9757 42.2357 42.8601 0.8081 43.6173 41.3474 0.0665 -24.7169 -57.8994
1.8218 5.4736 8.1748 0.7821 35.2189 0.0181 50.1861 0.1489 6.6735 4.0059 6.5843 4.0407 9.9527 10.9769 43.0881 44.0095 44.2105 42.9956 0.9117 43.9777 44.3083 0.8255 41.7001 42.9319 0.9446 43.5577 42.2960 0.4753 -26.2596 -56.2062
1.6642 9.9879 10.8562 0.6031 40.7518 0.0480 41.9603 0.0709 7.6355 3.2683 6.5262 3.9399 9.1381 36.8347 42.8726 44.0855 44.0967 43.3952 0.8306 43.9560 44.3364 0.8971 42.4912 42.8861 0.7128 43.5749 42.1972 0.2894 -24.0293 -51.2652
1.0513 2.6374 10.3205 0.6221 20.4576 0.0530 74.2259 0.0842 7.9127 5.1422 6.6622 3.9179 9.6613 23.4097 42.2503 43.8069 44.2134 43.2544 0.7811 43.9553 44.2049 0.9718 42.3049 42.8462 0.7767 43.5591 41.1767 0.0691 -25.0228 -53.9114
0.7114 9.2005 9.4563 0.7980 19.8687 0.0090 36.6712 0.1023 7.4896 4.9878 6.5236 3.9813 9.7727 21.4547 42.4105 43.7756 44.3624 43.0554 0.8400 43.9878 44.2175 0.9608 41.8978 42.8995 0.9094 43.5792 41.7317 0.0999 -24.1935 -51.2264
1.5858 12.1719 7.3943 0.6594 33.6519 0.0399 35.7449 0.1123 6.1783 4.5691 6.5122 3.9534 9.7940 15.8369 42.0833 43.9106 44.3576 43.0185 0.8864 44.0685 44.3154 0.9837 41.8116 42.9705 0.9351 43.6526 41.1670 0.0470 -26.1317 -51.4719
0.2773 10.3667 12.3734 0.6006 14.4515 0.0380 4.6635 0.0935 7.5814 6.2480 6.3902 3.9852 9.4119 26.5131 42.7534 43.9651 44.0620 43.3586 0.8016 44.0351 44.3121 0.9253 42.4565 42.8219 0.6988 43.6265 42.0936 0.2199 -30.7289 -51.2209
1.0085 5.6480 9.6393 0.7375 36.1866 0.0105 39.4950 0.0511 7.5925 3.5522 6.5092 3.9084 10.3226 2.4937 42.4676 43.8113 44.3581 43.0579 0.8500 44.0789 44.2851 0.9623 42.0607 42.9181 0.8781 43.6630 41.5800 0.1139 -23.9424 -51.8227
1.8995 2.3664 12.0412 0.5882 27.3808 0.0049 21.9525 0.2758 7.7904 4.1067 6.4416 4.2170 9.8970 9.6558 42.3257 43.9192 44.2259 43.0860 0.8720 44.0031 44.2787 0.9700 41.9621 42.9040 0.8974 43.6069 41.0656 0.0821 -27.9214 -51.3230
1.0813 1.7637 10.3287 0.5874 36.4003 0.0423 16.4187 0.2237 7.8157 3.8433 6.4803 4.1514 9.9306 13.4256 42.5267 43.8173 44.2793 43.2449 0.7889 43.9739 44.2219 0.9527 42.3234 42.8846 0.7845 43.5928 41.7855 0.1305 -26.8302 -54.4434
0.3354 7.5206 11.1717 0.6870 30.2327 0.0261 48.1045 0.1520 7.7701 4.6527 6.6296 3.9916 9.1633 40.8998 43.0940 43.7104 44.1665 43.2845 0.7272 43.9867 44.1864 0.8489 42.3477 42.7748 0.7278 43.6055 41.8797 0.4818 -24.9968 -53.9985
1.8739 12.1346 7.0963 0.7374 36.2381 0.0215 39.5850 0.1228 6.1822 4.0469 6.4999 3.9806 9.8144 16.3785 42.4833 43.9585 44.1638 43.2004 0.8514 43.9600 44.2732 0.9531 42.2366 42.8834 0.8160 43.5638 41.7804 0.1181 -36.8059 -51.3088
1.8920 3.7979 7.0340 0.7540 38.4276 0.0448 47.9540 0.0971 6.2360 3.8630 6.5853 3.9339 10.3226 2.4937 42.3341 43.8598 44.2727 43.1344 0.8416 43.9726 44.2383 0.9690 42.1386 42.9024 0.8531 43.5914 41.4168 0.0837 -32.4625 -51.3676
0.3850 7.7872 11.0191 0.7650 26.1396 0.0239 44.2154 0.1210 7.7617 4.7375 6.4947 4.0003 9.7611 15.1161 42.1758 44.0157 44.0672 43.3026 0.8378 44.0225 44.3294 0.9795 42.3514 42.8430 0.7562 43.6262 41.1356 0.0582 -24.0319 -52.4140
0.6691 1.4124 10.1790 0.7935 22.0027 0.0166 53.4095 0.1509 8.0041 4.6636 6.5734 4.0376 9.3984 49.5093 42.4927 44.0370 44.2743 42.9515 0.9241 44.0096 44.3388 0.9571 41.6499 42.9813 0.9554 43.6133 41.6869 0.1207 -24.1503 -51.2102
1.9334 11.2623 7.2119 0.7147 37.2954 0.0195 48.0986 0.0914 6.1574 3.8665 6.5496 3.9655 10.1761 4.9154 41.9519 43.9611 44.2051 43.1141 0.8755 44.0145 44.3028 0.9874 41.9770 42.9094 0.8954 43.6183 41.0965 0.0347 -33.8175 -51.2345
1.8551 10.7191 10.9364 0.4945 35.3605 0.0488 42.2336 0.1733 7.5596 4.4263 6.5268 4.0622 9.7800 15.8183 42.9051 43.8401 44.3091 42.9678 0.8817 43.9486 44.2184 0.8883 41.6714 42.9109 0.9455 43.5674 42.1204 0.3118 -26.8418 -53.4595
1.9032 4.3593 9.2307 0.7643 39.3706 0.0187 47.7298 0.1073 7.3021 3.8418 6.5440 3.9993 9.5597 34.1673 42.4848 43.8405 44.2361 43.3529 0.7545 43.9550 44.2194 0.9486 42.4485 42.8741 0.7271 43.5391 41.5667 0.1185 -25.5421 -55.0494
1.5085 1.4263 8.9183 0.7955 17.9614 0.0050 29.8607 0.1166 7.1673 5.2278 6.4708 4.0226 10.0665 11.8712 41.9698 43.9031 44.2259 43.1433 0.8519 44.0257 44.2840 0.9872 42.1035 42.8970 0.8614 43.6295 41.3063 0.0362 -23.9441 -54.4329
1.8060 3.6609 7.2174 0.6822 32.9684 0.0188 37.5805 0.0583 6.2179 4.1754 6.4817 3.8675 10.4790 2.5618 42.0875 43.9980 44.0617 43.2860 0.8375 44.0067 44.3129 0.9826 42.3198 42.8333 0.7654 43.6105 41.1595 0.0475 -24.0994 -51.6924
0.4903 6.3051 10.3520 0.4575 29.1457 0.0275 15.6301 0.0448 7.5821 4.7116 6.4471 3.8468 10.4699 2.7617 42.5666 43.9151 44.2147 43.2611 0.8184 44.0182 44.2847 0.9505 42.2915 42.8958 0.8008 43.6220 41.5324 0.1430 -24.5322 -51.2680
0.6302 8.5556 10.2828 0.7205 26.9750 0.0154 38.4887 0.1145 7.7284 4.4843 6.5606 3.9984 9.7940 15.8369 42.4444 43.8624 44.2554 43.1363 0.8418 43.9875 44.2469 0.9617 42.1393 42.8946 0.8506 43.6063 41.7759 0.1079 -29.7730 -51.4145
1.9400 12.1948 7.3814 0.7399 34.2399 0.0254 45.4953 0.1954 6.2724 3.9870 6.5202 4.0663 9.5906 19.6340 42.3641 43.8715 44.2663 43.1109 0.8521 43.9884 44.2516 0.9662 42.1098 42.9046 0.8618 43.5922 41.5893 0.0897 -23.6327 -54.1949
1.2941 5.4470 9.3753 0.7883 37.3094 0.0046 41.1907 0.0886 7.4198 3.8911 6.5210 3.9467 9.9519 10.2628 42.1301 43.7839 44.3788 43.0806 0.8347 43.9957 44.2259 0.9803 42.0903 42.9111 0.8687 43.5995 41.3763 0.0524 -24.6680 -51.5656
1.8243 3.5870 8.5333 0.7109 40.9586 0.0243 43.8555 0.0476 6.9795 3.7654 6.5202 3.8578 10.5682 3.4446 42.3359 43.7739 44.2931 43.1913 0.7927 43.9910 44.2159 0.9684 42.2541 42.8684 0.8045 43.5948 41.5217 0.0841 -24.0054 -51.2279
1.5324 10.6920 8.9028 0.7672 27.7220 0.0277 45.5698 0.0992 7.1257 4.5347 6.5575 3.9750 10.3477 5.2482 42.7379 44.0109 44.2433 43.0169 0.9079 44.0152 44.3277 0.9247 41.8214 42.9522 0.9311 43.6067 42.0931 0.2122 -23.3213 -51.2194
1.5452 8.7581 7.1777 0.7249 26.5829 0.0277 42.3298 0.0739 6.1866 4.7121 6.5153 3.9148 9.7727 21.9518 42.0116 43.9686 44.2467 43.0640 0.8892 43.9713 44.2861 0.9823 41.9091 42.9370 0.9143 43.5513 41.2665 0.0398 -23.6086 -53.1692
