metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.882888468473220334e+00 1.273043301770702485e+01 9.030522383251218699e+00 7.902538727899252047e-01 2.505955820318728655e+01 2.209509796610435034e-02 4.027121907526849398e-01 4.515831935588805746e-03 7.836063399614936031e+00 6.590265441373851729e+00 6.834886824108803438e+00 4.571975251232538895e+00
1.937601532121523418e+00 1.250295424385654819e+01 9.090236629961687242e+00 7.129115141315474080e-01 2.446790195236980736e+01 3.170165851410391977e-02 1.996622157144964715e+00 1.216668272052412458e-02 7.781625608186846677e+00 6.627338326342155028e+00 6.864508041732694466e+00 4.584041878576645246e+00
1.927993921244314679e+00 5.731235017916470609e-01 8.802716941662419359e+00 7.663631999346437462e-01 2.344464904497950641e+01 4.668032055077179360e-02 1.652326393155565620e+00 7.863806420391354635e-03 7.779282939512693673e+00 6.698594713943627710e+00 6.880256560940981814e+00 4.565205644773639548e+00
1.766984022752722927e+00 7.847337708534607437e+00 9.005193102031936903e+00 7.960269985345177490e-01 2.453346874315209192e+01 3.793997408573533681e-02 7.207204321126715385e+00 1.011926298564300684e-02 7.836019968336252361e+00 6.615409129275352740e+00 6.883252890220109776e+00 4.585302680115512786e+00
1.621012023440443928e+00 9.545969821439818759e+00 8.705091353520506559e+00 7.437999498391651976e-01 2.432170847679711301e+01 2.012652534150348449e-02 1.734885411212195638e+00 7.581588452369110269e-03 7.680271380192536412e+00 6.658571821009278580e+00 6.869075933609419593e+00 4.551070167734042826e+00
1.777665861303843187e+00 4.922797967984658740e+00 9.268211946206587726e+00 6.670287326422357221e-01 2.548597404809075329e+01 1.176318945913064004e-02 2.490123004872324408e+00 1.546886053863388497e-02 7.881596506316398631e+00 6.579117435659188828e+00 6.831230090383407116e+00 4.568730671487061912e+00
1.771934628434876036e+00 1.259855209106091500e+01 7.835577875292645267e+00 7.352962407941043832e-01 2.602576572977064018e+01 2.199758470103629210e-02 1.963907680571454151e+00 1.139704667820940973e-02 7.134249214214353429e+00 6.533393794221399986e+00 6.841138051112313434e+00 4.565735808746854474e+00
1.735599787601638022e+00 5.119510285423422680e+00 9.272060665722467121e+00 7.482956483766286526e-01 2.491126910865605737e+01 1.000851622697889257e-02 2.198173857324111413e+00 1.487263731984115288e-02 7.911480982078668234e+00 6.604911122348006813e+00 6.872094009790721714e+00 4.581751168779380379e+00
1.985223547660543764e+00 3.793094827058653529e+00 9.368701098528342541e+00 7.436166122094566289e-01 2.447889530945273151e+01 7.818135995188877849e-03 1.069482593275576754e+01 5.593875135033172900e-04 8.073901946567726640e+00 6.642428495677673794e+00 6.844958735503052338e+00 4.544625523247189491e+00
1.561359836807501900e+00 6.587745791903708792e+00 7.581064132756845986e+00 7.435140989352653218e-01 2.623611613668594700e+01 3.295723957024422612e-02 1.339912617440094422e+01 3.729880642796047380e-03 7.053872588014719724e+00 6.577607135982198372e+00 6.856907190412915298e+00 4.552095171429035858e+00
1.835831749373298738e+00 2.970631860557209514e+00 7.178121579728979462e+00 7.795502536846001806e-01 2.473232670219762852e+01 3.490190231741186616e-02 8.728511979083342087e-01 9.731870902384084226e-03 6.927436402128513748e+00 6.609463921435821732e+00 6.855151092253958467e+00 4.538617807141232419e+00
3.151317814180926158e-01 2.591285738922140869e+00 1.296894910418081892e+01 7.114251235904909265e-01 2.594881704815564305e+01 2.621016158434752441e-02 7.205409928810235343e+00 4.617794933506469759e-03 8.529766980636988905e+00 6.505246444390124338e+00 6.875885260409024369e+00 4.581722449050777968e+00
1.434454057096843371e+00 9.908150272016079896e+00 1.306645583354869444e+01 7.845387382046182800e-01 2.660717337059099208e+01 3.392432509948794389e-02 3.534776780708261512e+00 2.889601825759431294e-02 8.463899565782934786e+00 6.529645320233122163e+00 6.827701136844400054e+00 4.605503870310192482e+00
1.757165259839996718e+00 6.269044651568560944e+00 7.652726849483952876e+00 7.052890112182672588e-01 2.502722302497085138e+01 3.521718583845383915e-02 1.109217198767778534e+01 1.964498174172563810e-02 7.035975137594988382e+00 6.613606420448029155e+00 6.896266971322091877e+00 4.558870208600342977e+00
1.719708805667725882e+00 4.037563526005146564e+00 7.160330548992233091e+00 7.687926322997470363e-01 2.418227254438903628e+01 1.350414829614439254e-02 2.130937063950776977e+00 1.249913605065308686e-02 6.878044889628935010e+00 6.648633035627067756e+00 6.882503471030531728e+00 4.548841821252931794e+00
1.542321647654266714e+00 1.846464515355633607e+00 9.043957395917351150e+00 7.466678583578622019e-01 2.393249018065076683e+01 4.003643854313614775e-02 1.220316995217077505e+01 6.055234000089088076e-03 7.876845881435968977e+00 6.656880568466576165e+00 6.805042158279924536e+00 4.556284753292699108e+00
1.629742278159116209e+00 9.895445053747202735e+00 9.752694548698940480e+00 5.660031586431663042e-01 2.607820562687489740e+01 2.574529948658894549e-02 6.712572813397927440e+00 8.713816112414979331e-03 8.062246427527465897e+00 6.530901304519250772e+00 6.896142333703451754e+00 4.560756730377361734e+00
1.931560285758476603e+00 1.586868657883392819e+00 8.792736097667352979e+00 7.594790890040900022e-01 2.459157523301100667e+01 2.185211801469438830e-02 6.391670286505107157e+00 7.005186703567941806e-03 7.731922866094219415e+00 6.629656323430101139e+00 6.858370018299957849e+00 4.537387470873355255e+00
1.533498078232894191e+00 1.108906546450819164e+01 7.346729634026123890e+00 7.647317055714313305e-01 2.494670908376296126e+01 4.856558482579153430e-02 4.836641278508169162e-01 9.843851946513887050e-04 6.929577709881293401e+00 6.620587253715598308e+00 6.879830025128708115e+00 4.524880958316437329e+00
1.627885730633998884e+00 7.934739281369952657e+00 8.435543434752412750e+00 6.844600927302693094e-01 2.537481886680435395e+01 2.260668388035504822e-02 3.620680241440923819e+00 4.985323261711191618e-03 7.461720458401753575e+00 6.575234885722970546e+00 6.907439880916918185e+00 4.555833028864295642e+00
1.747596816679733545e+00 2.770676371120218917e+00 7.206648584724458573e+00 7.778581639417675442e-01 2.611472124298396125e+01 6.072161753144170041e-04 3.722591739288948265e+00 1.592576411791567703e-03 6.894385442322381152e+00 6.497496434808198273e+00 6.886054905068533571e+00 4.531183531683380394e+00
1.771433225081900709e+00 4.444271365525302109e+00 9.460539146638415886e+00 6.563236995675133523e-01 2.399348680981346860e+01 6.494729846354685421e-03 6.633130025243517025e+00 6.690489847432807939e-03 8.091795267773978395e+00 6.642093721976728204e+00 6.895477225564988544e+00 4.535831779537906172e+00
1.721735606373103078e+00 4.073375759703309562e+00 8.959583473725544422e+00 7.200005145178602906e-01 2.362770000986480312e+01 9.537714302929418617e-03 3.838125264785912538e+00 1.139877165098790619e-03 7.780643443089367395e+00 6.668555098418920579e+00 6.859233809213122868e+00 4.535216598097909113e+00
1.624270392243899908e+00 1.402740085834912165e+00 8.727980104186915611e+00 7.572096659377246519e-01 2.409420728494502129e+01 4.530872270266602525e-02 7.160960764447378502e+00 1.209864916269201302e-03 7.762566568633516795e+00 6.636363465977442644e+00 6.872126581977042292e+00 4.536267655224168749e+00
1.556452385720942244e+00 1.030083051475468103e+01 9.416812727630622604e+00 7.956563576329953591e-01 2.493938508317340563e+01 4.717415547047221214e-02 7.907436331105716087e-01 2.797265069999917489e-02 7.954370305801717222e+00 6.592408427975858132e+00 6.837750057899217637e+00 4.621470662780035710e+00
1.818862980993280365e+00 6.333654547777526567e+00 8.584024711431627708e+00 7.751888621313033356e-01 2.411868946621151721e+01 2.447918099995560412e-02 2.720331789939409162e-02 2.813161098245781956e-03 7.637213241288119292e+00 6.655440803284061957e+00 6.879895231381397025e+00 4.561353061039167045e+00
1.873827440201152550e+00 9.143125735816841626e+00 7.416952146745113161e+00 7.881459293661077226e-01 2.485583009391147868e+01 4.527553590803546496e-02 1.768101331389543951e+00 6.391035498348858479e-03 7.027359569804648487e+00 6.610491887575300041e+00 6.827370299253125552e+00 4.564847186215594377e+00
1.923594405500803850e+00 9.464931279773370676e+00 9.628609535433154676e+00 5.414476051357279829e-01 2.520349531313064517e+01 5.668471618748373297e-03 1.320607499596086853e+01 7.477406409430760806e-03 8.059386012066667604e+00 6.551904840684940723e+00 6.871446425985066497e+00 4.546896127569059587e+00
1.793657628359014433e+00 8.235124799150993269e+00 8.751999945941232539e+00 7.505188243215221711e-01 2.418431933054243643e+01 2.041607879048538618e-02 1.187101747598570256e+01 4.046211182479162068e-03 7.720136839516221983e+00 6.638849463147455054e+00 6.901841029534097061e+00 4.553138866614252933e+00
1.924281473285765154e+00 6.267409054803915192e-01 9.129144790497836226e+00 6.979985017039878059e-01 2.509118460637925097e+01 1.835054213178969468e-02 8.067497941354947244e+00 7.572990341639391620e-04 7.965583484945391035e+00 6.602002791520156677e+00 6.867987200703304040e+00 4.532124686355839316e+00
1.532584946817393989e+00 3.651534709138828938e-01 8.477851360991023100e+00 7.822385689734472347e-01 2.608133676069906315e+01 1.189712204480022559e-02 1.968230267661886579e+00 9.216944355379010426e-03 7.596277271841309187e+00 6.530945875098396414e+00 6.880788529682622112e+00 4.548388289456406497e+00
1.722646251246693128e+00 1.114329683894133538e+01 7.817082445983072780e+00 7.497992325571886107e-01 2.514149890451827929e+01 4.559596325184474795e-03 4.481850577189066875e+00 1.108038193212322088e-02 7.198620960324713991e+00 6.611126779596258274e+00 6.838706131802751997e+00 4.519885825865792128e+00
1.645184422727691498e+00 3.479956182370285145e+00 9.318578912300761630e+00 6.543592850639642355e-01 2.542824021758523401e+01 6.503783202205948993e-03 1.183087420304288351e+01 2.302030186467406841e-02 7.927321903490984312e+00 6.583230127730889336e+00 6.909326766969055456e+00 4.581291655709611277e+00
1.516457155025273451e+00 9.710478085473280174e+00 7.099034371556941281e+00 7.990973710083491000e-01 2.478143262882943532e+01 1.764579817613102369e-02 1.727898038605023334e+00 1.216583537710152867e-02 6.879725057291214085e+00 6.645496171510401950e+00 6.846564634606579602e+00 4.541380503941143232e+00
1.867055118058368324e+00 1.214918645214299886e+01 9.293244642183079662e+00 6.714074484578543833e-01 2.286926038372933689e+01 2.924836360210972958e-02 4.045476477702653284e+00 3.334523451794446734e-03 7.933315928506779358e+00 6.727583967727476022e+00 6.884342152928685010e+00 4.560205907524000679e+00
1.706597450265071148e+00 1.189540250634467178e+01 7.727976388437444832e+00 6.937248357068630522e-01 2.529477510108832305e+01 1.911606295571297021e-02 1.499804889421382370e+01 1.502483505664132038e-02 7.122498621086013060e+00 6.583174110215235686e+00 6.896569101057067996e+00 4.561795370080293566e+00
1.497161048921012538e+00 1.306202168869197777e+01 1.139801211825556493e+01 7.194237863942477551e-01 2.437538293683400070e+01 3.431654004469037594e-02 7.322281912458559638e+00 2.185968851861243289e-02 8.411796642215001896e+00 6.632991087341551406e+00 6.846079904756749102e+00 4.598919497247671018e+00
1.819344894540037672e+00 8.003549455920857980e+00 9.361641047721626308e+00 7.703973012795710673e-01 2.469314258434341980e+01 3.273447410372860855e-02 1.855195294986457244e-01 3.070808825953851018e-02 7.963502065312798806e+00 6.624883810448373822e+00 6.864185314890342227e+00 4.634467805437356702e+00
1.658369916762288510e+00 3.846256866377296468e+00 9.669394270614995790e+00 7.564779088776514282e-01 2.515661615570103038e+01 8.316961154373020762e-03 1.184368693180444154e+01 2.683460519273158512e-02 8.221932526932324237e+00 6.551735812185338403e+00 6.876071416726038166e+00 4.618971103831331249e+00
1.736266223651182106e+00 2.289455198902858424e+00 7.364056703793179004e+00 7.174990294855578821e-01 2.410425419072533515e+01 2.684088569652452738e-02 8.301679515577029989e+00 4.531364321484849557e-03 6.923968620286444775e+00 6.633012255716295158e+00 6.885786206871017612e+00 4.523400106068976356e+00
1.644800626317555192e+00 1.471278333491105927e+00 9.071626151044103636e+00 7.902158570854705966e-01 2.408536336771163988e+01 5.438225826225834367e-04 1.382985977874495376e+01 1.493269206121264348e-02 7.922473680729037682e+00 6.652325220476292600e+00 6.850195074815307095e+00 4.588265509670888420e+00
1.529958384956709549e+00 6.752322504108488666e+00 9.276329100102465475e+00 7.476301121838144770e-01 2.512582596630374354e+01 3.227296837426336940e-02 1.168565040632383578e+01 2.429014622190202744e-03 7.926855739878643448e+00 6.593382566923569499e+00 6.870865004740476678e+00 4.557037409617276325e+00
