logz logzerr logvol nlive logl logwt insert_order
-9.233493283121557236e+08 2.375581047736870050e+08 -1.375000000000000666e-01 4.000000000000000000e+02 -9.136107070835719109e+08 -9.136107132137862444e+08 1.665000000000000036e+00
-9.136107132137862444e+08 1.143168864626304209e+08 -1.400000000000000688e-01 4.000000000000000000e+02 -6.844096465705599785e+08 -6.844096527032742500e+08 1.250000000000000000e-01
-6.844096527032742500e+08 1.092212618864653111e+08 -1.425000000000000711e-01 4.000000000000000000e+02 -5.789432130969318151e+08 -5.789432192321461439e+08 1.685000000000000053e+00
-5.789432192321461439e+08 9.549957397827456892e+07 -1.450000000000000733e-01 4.000000000000000000e+02 -5.182221358036916852e+08 -5.182221419414059520e+08 2.250000000000000056e-01
-5.182221419414059520e+08 4.838917936284289509e+07 -1.475000000000000755e-01 4.000000000000000000e+02 -4.237738015058580637e+08 -4.237738076460723281e+08 3.750000000000000000e-01
-4.237738076460723281e+08 3.519881561224775016e+07 -1.500000000000000777e-01 4.000000000000000000e+02 -4.178995935173023343e+08 -4.178995996600165963e+08 1.590000000000000080e+00
-4.178995996600165963e+08 2.189188421837784350e+06 -1.525000000000000799e-01 4.000000000000000000e+02 -3.983209312125874162e+08 -3.983209373578016758e+08 4.749999999999999778e-01
-3.983209373578016758e+08 1.096925114275385998e+07 -1.550000000000000822e-01 4.000000000000000000e+02 -3.877178401835001111e+08 -3.877178463312143683e+08 9.599999999999999645e-01
-3.877178463312143683e+08 8.735603675342744216e+06 -1.575000000000000844e-01 4.000000000000000000e+02 -3.059186874744613767e+08 -3.059186936246756911e+08 7.650000000000000133e-01
-3.059186936246756911e+08 4.499464514868073165e+07 -1.600000000000000866e-01 4.000000000000000000e+02 -2.456598281844661832e+08 -2.456598343371804655e+08 1.719999999999999973e+00
-2.456598343371804655e+08 5.523905748355974257e+07 -1.625000000000000888e-01 4.000000000000000000e+02 -2.208011055872062743e+08 -2.208011117424205542e+08 1.169999999999999929e+00
-2.208011117424205542e+08 2.409335062837486342e+07 -1.650000000000000910e-01 4.000000000000000000e+02 -2.089951312154378295e+08 -2.089951373731521070e+08 1.314999999999999947e+00
-2.089951373731521070e+08 2.655529418506579474e+07 -1.675000000000000933e-01 4.000000000000000000e+02 -2.024004915962450206e+08 -2.024004977564592957e+08 1.860000000000000098e+00
-2.024004977564592957e+08 2.779800859938949719e+07 -1.700000000000000955e-01 4.000000000000000000e+02 -1.712183489488110244e+08 -1.712183551115252972e+08 3.800000000000000044e-01
-1.712183551115252972e+08 3.541464032925781608e+07 -1.725000000000000977e-01 4.000000000000000000e+02 -1.552333111153840423e+08 -1.552333172805983424e+08 4.600000000000000200e-01
-1.552333172805983424e+08 4.256269153427320719e+07 -1.750000000000000999e-01 4.000000000000000000e+02 -1.462014489271537960e+08 -1.462014550948680937e+08 8.549999999999999822e-01
-1.462014550948680937e+08 2.119840691991963610e+07 -1.775000000000001021e-01 4.000000000000000000e+02 -1.134417760122426897e+08 -1.134417821824569702e+08 1.695000000000000062e+00
-1.134417821824569702e+08 2.662795126949288696e+07 -1.800000000000001044e-01 4.000000000000000000e+02 -8.815118532406927645e+07 -8.815119149678356946e+07 8.349999999999999645e-01
-8.815119149678356946e+07 2.180149410054600611e+07 -1.825000000000001066e-01 4.000000000000000000e+02 -8.516574281587512791e+07 -8.516574899108941853e+07 1.754999999999999893e+00
-8.516574899108941853e+07 1.681445654652845114e+07 -1.850000000000001088e-01 4.000000000000000000e+02 -7.809804995882914960e+07 -7.809805613654343784e+07 1.225000000000000089e+00
-7.809805613654343784e+07 2.778540027282801457e+06 -1.875000000000001110e-01 4.000000000000000000e+02 -4.741161560768480599e+07 -4.741162178789909184e+07 3.049999999999999933e-01
-4.741162178789909184e+07 1.143615868479967117e+07 -1.900000000000001132e-01 4.000000000000000000e+02 -4.488523659862380475e+07 -4.488524278133808821e+07 4.600000000000000200e-01
-4.488524278133808821e+07 9.100526095118183643e+06 -1.925000000000001155e-01 4.000000000000000000e+02 -4.433335360742443055e+07 -4.433335979263871908e+07 1.594999999999999973e+00
-4.433335979263871908e+07 8.114258027062905021e+05 -1.950000000000001177e-01 4.000000000000000000e+02 -3.946096765289226919e+07 -3.946097384060655534e+07 4.299999999999999933e-01
-3.946097384060655534e+07 2.581548017323624343e+06 -1.975000000000001199e-01 4.000000000000000000e+02 -3.797168104224157333e+07 -3.797168723245585710e+07 1.159999999999999920e+00
-3.797168723245585710e+07 1.916565096449162578e+06 -2.000000000000001221e-01 4.000000000000000000e+02 -3.748689861109852791e+07 -3.748690480381281674e+07 5.649999999999999467e-01
-3.748690480381281674e+07 7.216072427580973599e+05 -2.025000000000001243e-01 4.000000000000000000e+02 -3.552971490639179200e+07 -3.552972110160607845e+07 3.150000000000000022e-01
