# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.4395 12.8395 10.5142 0.0576 41.8682 0.0009 16.5513 0.1708 7.3149 5.6984 6.7210 4.1354 9.9109 0.8969 42.8958 43.7596 44.1434 43.4874 0.6517 44.1733 44.3256 0.9316 42.6040 42.7869 0.6037 43.7921 41.6506 0.3052 -270.8387 -299.0631
0.4610 7.1431 8.2966 0.4031 38.9208 0.0189 38.0367 0.1728 6.6875 4.4211 6.8402 4.1802 10.0447 0.8151 43.9185 43.7018 44.3085 43.5576 0.5823 44.1252 44.2809 0.5105 42.6204 42.8337 0.6204 43.7166 43.0573 3.2164 -279.3726 -302.7372
0.5679 12.9559 12.7866 0.2463 41.0671 0.0057 35.7800 0.0925 7.5067 5.8029 6.8277 4.0945 9.7614 1.4483 42.8280 43.7400 44.2693 43.5008 0.6343 44.1037 44.2754 0.9314 42.5338 42.8391 0.6688 43.7225 42.1871 0.2611 -274.9419 -299.5423
1.4454 4.3038 10.1077 0.1041 29.5949 0.0232 49.5473 0.1121 7.5612 5.1035 6.9467 4.1064 9.7794 1.6026 43.7867 43.7104 44.1965 43.5502 0.5912 44.1533 44.2998 0.6012 42.6265 42.7894 0.5927 43.7448 42.7847 2.3742 -273.5897 -298.9649
0.8311 7.4994 10.6223 0.0568 41.9241 0.0071 29.9583 0.1765 7.3818 5.5298 6.7880 4.1804 10.0634 0.9689 42.4401 43.8361 44.1747 43.3366 0.7596 44.1608 44.3404 0.9727 42.5246 42.8388 0.6734 43.7646 40.8782 0.1069 -271.4058 -300.4202
0.9936 10.2833 10.3690 0.0647 40.6619 0.0004 29.1676 0.1613 7.3703 5.6009 6.7892 4.1507 9.9160 0.9914 43.9874 43.6931 44.2050 43.5817 0.5637 44.1286 44.2778 0.4729 42.6349 42.7842 0.5851 43.7200 43.1350 3.7690 -275.6697 -302.8692
0.4667 11.5801 10.7281 0.0688 41.9401 0.0041 18.2736 0.1519 7.3400 5.4601 6.7392 4.1194 9.2093 16.3632 44.0311 43.6898 44.1709 43.5817 0.5619 44.1101 44.2630 0.4205 42.6561 42.7664 0.5631 43.6898 43.1610 4.1681 -271.3102 -300.0747
0.6999 9.0365 12.8912 0.0667 41.8332 0.0032 33.2270 0.1923 7.2972 5.5112 6.7880 4.2335 9.9854 1.1108 44.0457 43.7574 44.1986 43.4110 0.6895 44.0846 44.2660 0.4148 42.5124 42.8144 0.6671 43.6761 43.3126 4.3103 -270.0382 -299.3236
1.4906 3.8258 9.8672 0.1201 33.5820 0.0095 46.3494 0.1696 7.3160 5.1558 6.9183 4.2701 9.8806 0.8727 42.7365 43.7865 44.2746 43.4033 0.7073 44.1355 44.3109 0.9445 42.4818 42.8665 0.7080 43.7393 41.9142 0.2115 -274.2395 -306.7364
0.8471 9.2220 8.8029 0.2727 41.6207 0.0081 33.4778 0.1710 6.8787 5.2014 6.7869 4.0624 10.0572 1.0620 43.1940 43.7133 44.2025 43.5207 0.6091 44.1504 44.2985 0.8599 42.6089 42.7938 0.6048 43.7542 42.4609 0.6065 -273.3215 -299.1391
