#Table1
sii_6717_flux,sii_6731_flux,nii_6584_flux,oi_6300_flux,oiii_5007_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw,nii_6584_eqw,oiii_sigma,w1mpro,w2mpro,w3mpro,z,class,subclass,bestobjid
68.23723,43.28254,50.85091,10.48476,136.573,316.7157,100.3149,-35.96257,-6.662622,50.77956,15.275,15.08,11.741,0.06147218,GALAXY,STARFORMING,1237650797293338816
81.45023,66.66057,97.73875,12.23107,59.81681,403.3705,103.2128,-52.10026,-12.83102,51.08683,15.037,14.872,10.9,0.08884182,GALAXY,STARBURST,1237648722826166434
30.63698,24.20495,65.8357,9.161416,15.20661,180.8174,41.71413,-15.72879,-5.649443,1,14.29,14.161,10.716,0.05720619,GALAXY,STARFORMING,1237650797293338728
68.67606,46.67073,39.23271,13.74571,111.5933,342.8454,102.3102,-27.38618,-3.433449,43.77553,14.925,14.802,12.095,0.00658949,GALAXY,STARFORMING,1237648722289295527
36.02143,19.18493,72.38217,8.882089,18.5977,174.8124,33.71523,-11.62798,-4.677063,111.4416,13.716,13.439,9.751,0.09790488,GALAXY,STARFORMING,1237650796756533434
86.98476,67.6757,130.4489,10.49228,53.55283,404.0885,106.4664,-32.15246,-10.53779,65.40649,14.754,14.57,10.968,0.05735964,GALAXY,STARFORMING,1237650797293535374
82.12478,66.47538,138.9239,46.53567,46.37664,133.8752,21.15593,-5.136038,-4.936152,146.7962,13.435,13.173,11.241,0.06256682,GALAXY,AGN,1237651752921596015
94.465,68.57773,234.5796,18.119,26.49664,600.7238,129.7674,-27.02338,-10.78659,65.65222,13.501,13.121,9.262,0.1353705,GALAXY,STARFORMING,1237650797293535398
103.7957,83.99057,269.3496,26.07836,37.4241,586.3332,113.9731,-20.06369,-9.267749,76.43527,13.022,12.87,8.991,0.04570889,GALAXY,STARFORMING,1237648721752555640
109.2755,110.1778,520.5421,30.3217,452.449,576.2369,121.3313,-45.01684,-37.74743,178.6427,13.728,12.891,9.229,0.1225,GALAXY,AGN,1237650796219728046
112.4541,83.85831,380.6035,13.24785,107.3838,993.2001,214.1007,-28.12145,-10.7462,81.41341,12.964,12.797,8.952,0.03801033,GALAXY,STARFORMING,1237648722289557713
443.4508,307.0977,441.258,74.35032,2524.677,3601.152,998.5123,-216.3503,-26.87848,50.15243,,,,0.05158934,GALAXY,STARBURST,1237651752921661615
41.83678,28.2061,74.64108,9.204659,35.29883,102.78,20.05196,-6.221416,-4.368636,83.12574,14.002,13.783,11.229,0.1232092,GALAXY,AGN,1237648722289623245
103.9901,72.2782,161.5144,9.143567,197.4061,725.4607,214.1368,-99.42471,-22.18362,44.80376,15.093,14.767,11.913,0.0374546,GALAXY,STARBURST,1237648722289623239
55.09375,37.57005,86.58644,5.910673,21.92434,267.5282,61.06378,-22.5703,-7.29874,54.92967,14.072,13.953,10.5,0.05329375,GALAXY,STARFORMING,1237650797293600970
36.30586,36.36559,132.1341,16.807,50.93515,196.0961,43.1407,-17.44896,-11.26874,180.2015,14.46,14.229,11.262,0.1222728,GALAXY,STARFORMING,1237650796756730081
31.81533,21.93468,47.55698,4.610031,9.946052,145.4322,40.73222,-17.66258,-5.318938,1,14.757,14.501,11.033,0.0627807,GALAXY,STARFORMING,1237650796756730101
82.4512,54.95967,198.3827,19.15328,49.28839,374.9436,70.19812,-9.190491,-4.929738,82.53763,11.571,11.412,7.727,0.02524959,GALAXY,STARFORMING,1237648721752621257
18.99733,18.13108,75.26357,10.53035,8.712358,133.9608,33.42539,-12.96075,-7.023323,41.14042,14.547,14.206,10.831,0.1224014,GALAXY,STARFORMING,1237650796756664459
44.30919,36.82865,51.09724,6.055596,34.14091,198.1381,53.30949,-25.19152,-6.555444,45.47146,15.152,14.924,11.536,0.07998672,GALAXY,STARFORMING,1237650796756729880
97.47421,70.34242,51.04001,20.36342,4605.134,2154.871,695.6219,-506.4763,-12.8641,42.18071,,,,0.02492348,GALAXY,STARBURST,1237648721752621240
57.86506,52.49122,173.0037,19.27157,146.4084,236.8927,56.34292,-22.12315,-15.0662,185.1001,14.264,13.549,9.84,0.123279,GALAXY,AGN,1237650796219859103
161.6675,123.0287,252.1798,22.7352,96.68105,887.5396,197.7811,-56.33089,-16.22789,81.84615,13.569,13.256,9.152,0.08006686,GALAXY,STARBURST,1237650796756861065
63.06165,41.37077,86.59311,16.40117,38.5819,200.2706,44.90566,-6.760734,-2.822446,72.16143,12.981,12.92,10.116,0.0303838,GALAXY,STARFORMING,1237650796756795418
84.31168,74.70917,167.8519,36.95225,173.4187,190.735,47.87605,-14.68593,-12.08951,169.6663,14.323,14.217,11.445,0.1222152,GALAXY,AGN,1237648721752752242
230.952,178.0945,198.7981,45.14973,2279.035,2375.152,701.9868,-214.2174,-17.69298,44.56589,14.443,14.197,10.492,0.01112419,GALAXY,STARBURST,1237650796219990124
38.52331,28.95356,104.2506,7.226433,14.76035,309.0901,66.13542,-24.18361,-7.810703,94.2975,14.117,13.772,9.77,0.1454365,GALAXY,STARFORMING,1237650796219924616
56.71581,43.74263,57.32608,9.937716,69.72427,263.7695,71.70961,-48.88405,-10.77204,48.58522,15.404,15.22,10.922,0.08002961,GALAXY,STARBURST,1237650796219924614
94.15914,69.78603,131.3241,18.81296,87.5701,459.367,94.31874,-45.31701,-13.29784,51.20565,14.693,14.598,10.526,0.03735736,GALAXY,STARFORMING,1237650796756926585
21.59159,15.76461,20.85264,4.874647,15.74001,56.51643,15.24712,-11.36673,-4.288336,44.70732,15.453,15.446,12.275,0.03610206,GALAXY,STARFORMING,1237648722289623371
38.0825,27.92311,44.34494,8.143293,22.10358,159.557,36.79979,-21.70031,-6.485328,36.39505,14.903,14.735,11.107,0.05756393,GALAXY,STARFORMING,1237650796756992213
237.2078,162.8932,505.576,31.71647,85.59758,1473.619,317.4383,-55.07597,-18.80032,65.33919,12.849,12.571,8.332,0.03032346,GALAXY,STARBURST,1237648722289819672
87.46271,59.78167,182.7587,14.8085,45.90336,507.958,128.0497,-32.66265,-11.81188,54.84186,,,,0.04892132,GALAXY,STARFORMING,1237650796220186782
56.99457,39.93906,132.5258,15.70635,38.00491,225.8311,53.42515,-6.796099,-3.870824,112.3122,13.286,13.182,10.171,0.05742602,GALAXY,STARFORMING,1237650796220186819
58.65116,45.7187,84.946,12.61912,351.1635,556.8371,140.9157,-210.3146,-40.07622,107.4879,15.847,15.104,11.2,0.2701064,GALAXY,STARBURST,1237651752921858282
23.1952,18.42459,40.60973,9.691984,16.09192,52.25406,11.44641,-2.516539,-1.788162,110.4069,13.714,13.518,11.541,0.1279921,GALAXY,,1237648722826625191
28.3876,20.68296,80.28949,7.055264,11.39995,212.1318,50.24716,-18.55572,-7.276724,75.66722,14.308,14.145,10.545,0.08535129,GALAXY,STARFORMING,1237650797293862996
187.3937,140.8103,515.1613,48.40514,70.22443,853.0652,156.3904,-12.62606,-7.664168,110.5187,10.826,10.607,6.579,0.0200758,GALAXY,STARFORMING,1237648722289950774
343.9395,244.8647,351.6221,62.74306,1053.112,2139.695,612.728,-80.60677,-13.31564,58.27615,13.189,12.915,8.966,0.03053254,GALAXY,STARBURST,1237648722289950745
48.99038,28.52964,31.27232,7.205528,114.6989,229.0997,68.75723,-29.25869,-3.894604,45.29395,15.35,15.398,11.475,0.02518325,GALAXY,STARFORMING,1237648722289885254
118.692,83.47686,119.7829,13.31022,354.5447,777.9006,229.5928,-76.46999,-12.25052,41.01388,13.612,13.543,10.46,0.005922012,GALAXY,STARBURST,1237650796757123150
62.03601,35.02693,115.1251,13.48229,19.64905,351.3117,53.04268,-30.04447,-9.788091,108.1229,13.844,13.357,9.226,0.1616769,GALAXY,STARFORMING,1237650797293994234
39.8393,27.53757,18.98438,8.283245,153.3803,243.9635,74.80563,-58.34509,-4.347253,34.7394,15.116,14.985,11.928,0.006186391,GALAXY,STARBURST,1237650797293994155
172.8734,136.3014,407.2336,36.32106,152.4512,1001.9,234.3673,-57.76435,-23.58913,102.8907,13.705,13.319,9.052,0.1258487,GALAXY,STARBURST,1237648721753080080
81.20013,57.8144,113.3248,10.28142,120.4238,516.7769,134.6182,-103.2645,-23.00626,56.07731,14.76,14.536,10.734,0.06346273,GALAXY,STARBURST,1237651801769640294
48.55569,34.07399,132.8655,8.716232,15.48976,254.0052,40.674,-16.69869,-8.733893,77.49654,13.475,13.204,9.262,0.06296776,GALAXY,STARFORMING,1237648721753080096
67.21134,42.3878,75.6659,10.88271,53.36222,285.4309,66.73431,-35.95361,-9.87171,71.06258,14.503,14.156,10.979,0.07030654,GALAXY,STARFORMING,1237648721753145447
92.3065,64.5616,192.3833,16.28969,43.16371,604.0031,120.2294,-36.67135,-11.71963,69.4063,13.506,13.322,9.234,0.06987419,GALAXY,STARFORMING,1237648721753145550
66.18264,57.83102,171.0604,52.14047,524.8609,244.7573,76.61945,-10.63641,-7.140646,93.87693,13.774,13.33,11.998,0.06238846,GALAXY,AGN,1237650796757319821
121.1888,94.91644,128.7748,23.00228,105.9001,473.6742,116.5431,-32.49393,-8.812796,52.07916,13.995,12.256,7.746,0.02013125,GALAXY,STARFORMING,1237648722289950973
23.55942,18.91909,53.77121,7.650276,14.68519,91.88309,12.99119,-4.430532,-2.456805,133.8787,13.043,12.996,10.149,0.06453946,GALAXY,,1237648721753211085
23.5318,14.48616,38.64574,5.70408,6.658247,89.11731,22.81176,-15.94193,-6.813075,114.8289,14.501,14.279,11.737,0.1098582,GALAXY,STARFORMING,1237648721753276550
30.76298,19.59747,30.25807,6.348976,28.77853,122.8106,29.06633,-34.16451,-8.396173,36.68972,15.981,15.504,12.396,0.06260023,GALAXY,STARFORMING,1237650796757320031
20.84057,15.1046,44.43774,8.424724,17.24143,98.09557,27.12378,-9.581162,-4.527011,66.4904,14.384,14.196,11.15,0.09284572,GALAXY,STARFORMING,1237648721753276576
460.9821,351.2475,740.2675,41.28255,626.6895,2891.112,794.5548,-56.4181,-14.48771,54.80346,12.869,12.757,9.105,0.02016207,GALAXY,STARBURST,1237648721753210967
