# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.9224 7.7557 10.2975 0.5485 26.8295 0.0148 11.0388 0.0001 7.9235 6.6713 7.0336 4.4951 11.0431 0.7212 44.2952 44.8520 44.8521 43.1433 0.9808 44.6871 45.0883 0.6006 41.7795 43.6451 0.9866 44.2671 43.1039 7.6557 -343.9847 -383.7267
1.7102 11.0250 13.0616 0.7354 30.4045 0.0133 13.7253 0.0039 7.9444 6.4435 7.0168 4.5370 10.9255 4.9673 44.2627 44.8362 44.8403 43.2252 0.9761 44.6588 45.0677 0.6029 42.0664 43.6320 0.9735 44.2388 43.0684 7.1048 -344.7994 -383.9150
1.6064 1.2651 12.6902 0.7364 28.1374 0.0000 9.9847 0.0012 8.1937 6.5373 7.0021 4.5337 10.8742 5.0105 44.2515 44.8559 44.8601 43.1906 0.9788 44.6826 45.0889 0.6362 41.7512 43.6517 0.9876 44.2740 42.9803 6.9236 -355.3151 -382.0345
1.5541 5.8284 9.8030 0.7821 29.5484 0.0024 33.7643 0.0008 7.8748 6.4253 7.0959 4.5266 10.9756 0.6175 44.3080 44.8566 44.8579 43.1985 0.9785 44.6491 45.0764 0.5870 41.8747 43.6505 0.9835 44.2405 43.4412 7.8854 -353.8481 -381.8365
1.8324 6.7788 10.5252 0.7739 30.1165 0.0068 31.6417 0.0001 8.0046 6.4013 7.1006 4.5123 10.6301 5.0631 44.2123 44.8413 44.8468 43.2683 0.9740 44.6596 45.0711 0.6363 42.0958 43.6380 0.9721 44.2437 43.0941 6.3266 -351.6934 -382.6633
1.9563 3.1768 10.9256 0.7771 28.2729 0.0046 29.7169 0.0009 8.1383 6.5032 7.0829 4.5245 10.8202 4.8122 44.1831 44.8180 44.8401 43.2505 0.9736 44.7067 45.0768 0.6760 42.0434 43.6258 0.9745 44.2908 43.0610 5.9149 -344.0665 -382.8549
1.5309 0.5471 13.0610 0.7955 28.4013 0.0100 34.5787 0.0001 8.3114 6.5439 7.0699 4.5227 11.1327 0.0000 44.2412 44.8262 44.8506 43.2499 0.9742 44.6977 45.0778 0.6601 41.8214 43.6355 0.9849 44.3015 43.1584 6.7608 -346.9415 -387.7288
1.8046 1.0953 10.5030 0.6368 26.7100 0.0074 5.7602 0.0000 8.1403 6.6360 7.0599 4.5432 10.8262 5.6418 44.2966 44.8367 44.8375 43.3138 0.9709 44.6958 45.0827 0.6190 42.1405 43.6302 0.9686 44.2872 43.0391 7.6807 -344.4299 -384.2000
1.5525 2.0957 10.6247 0.7272 31.0924 0.0133 29.6695 0.0014 8.2513 6.3789 7.0762 4.5221 10.8769 7.0487 44.3036 44.8278 44.8335 43.2950 0.9715 44.6879 45.0742 0.6354 42.0363 43.6247 0.9748 44.3067 43.0870 7.8057 -344.8941 -381.8495
1.6587 4.7370 11.1136 0.6980 29.6705 0.0031 26.8261 0.0004 8.0225 6.3892 7.0941 4.5060 11.1347 0.0000 44.2603 44.8538 44.8604 43.1951 0.9785 44.6689 45.0824 0.6155 41.8434 43.6512 0.9847 44.2530 43.2878 7.0650 -344.4354 -381.9354
