logz logzerr logvol nlive logl logwt insert_order
-4.024386443245873928e+09 2.169986629433003902e+09 -1.025000000000000494e-01 4.000000000000000000e+02 -3.509881297883168697e+09 -3.509881303978383064e+09 1.129999999999999893e+00
-3.509881303978383064e+09 2.383465760061705589e+09 -1.050000000000000516e-01 4.000000000000000000e+02 -3.224003463134815216e+09 -3.224003469232529640e+09 6.800000000000000488e-01
-3.224003469232529640e+09 2.254681530223692894e+09 -1.075000000000000538e-01 4.000000000000000000e+02 -2.926194978032146454e+09 -2.926194984132360935e+09 1.650000000000000078e-01
-2.926194984132360935e+09 1.397174947112911791e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -2.779792275014194012e+09 -2.779792281116908073e+09 5.749999999999999556e-01
-2.779792281116908073e+09 7.320135188930310309e+07 -1.125000000000000583e-01 4.000000000000000000e+02 -2.694684101178609371e+09 -2.694684107283823490e+09 5.350000000000000311e-01
-2.694684107283823490e+09 6.805436755634310842e+07 -1.150000000000000605e-01 4.000000000000000000e+02 -2.539216020246235847e+09 -2.539216026353950024e+09 1.419999999999999929e+00
-2.539216026353950024e+09 5.793953359597133845e+07 -1.175000000000000627e-01 4.000000000000000000e+02 -2.142489996771256924e+09 -2.142490002881471157e+09 1.909999999999999920e+00
-2.142490002881471157e+09 2.125700453435193300e+08 -1.200000000000000649e-01 4.000000000000000000e+02 -2.045255857565527439e+09 -2.045255863678241730e+09 3.400000000000000244e-01
-2.045255863678241730e+09 1.365233765683895648e+08 -1.225000000000000672e-01 4.000000000000000000e+02 -1.974604267801562309e+09 -1.974604273916776657e+09 3.200000000000000067e-01
-1.974604273916776657e+09 3.059303618827089295e+07 -1.250000000000000555e-01 4.000000000000000000e+02 -1.901780769291093588e+09 -1.901780775408807993e+09 1.145000000000000018e+00
-1.901780775408807993e+09 4.616802259051679075e+07 -1.275000000000000577e-01 4.000000000000000000e+02 -1.793497778682559729e+09 -1.793497784802773952e+09 3.850000000000000089e-01
-1.793497784802773952e+09 4.688791057029607147e+07 -1.300000000000000600e-01 4.000000000000000000e+02 -1.788580817497937441e+09 -1.788580823620651722e+09 5.050000000000000044e-01
-1.788580823620651722e+09 2.424094702540998813e+06 -1.325000000000000622e-01 4.000000000000000000e+02 -1.750215497763847351e+09 -1.750215503889061689e+09 1.864999999999999991e+00
-1.750215503889061689e+09 1.934893063614469022e+07 -1.350000000000000644e-01 4.000000000000000000e+02 -1.477968522082301855e+09 -1.477968528210016251e+09 2.849999999999999756e-01
-1.477968528210016251e+09 1.501892650440384150e+08 -1.375000000000000666e-01 4.000000000000000000e+02 -1.386497998394532442e+09 -1.386498004524746656e+09 1.445000000000000062e+00
-1.386498004524746656e+09 4.509557630346897244e+07 -1.400000000000000688e-01 4.000000000000000000e+02 -1.367185614047123909e+09 -1.367185620179838181e+09 1.800000000000000044e+00
-1.367185620179838181e+09 3.936654026790465415e+07 -1.425000000000000711e-01 4.000000000000000000e+02 -1.338017215250471115e+09 -1.338017221385685444e+09 3.649999999999999911e-01
-1.338017221385685444e+09 1.876574356097459793e+07 -1.450000000000000733e-01 4.000000000000000000e+02 -1.099743506435347795e+09 -1.099743512573062181e+09 1.100000000000000089e+00
-1.099743512573062181e+09 1.228899859856742620e+08 -1.475000000000000755e-01 4.000000000000000000e+02 -1.074450793037097454e+09 -1.074450799177311659e+09 1.094999999999999973e+00
-1.074450799177311659e+09 1.195874397918843627e+08 -1.500000000000000777e-01 4.000000000000000000e+02 -1.047193155665892839e+09 -1.047193161808607101e+09 2.349999999999999867e-01
-1.047193161808607101e+09 1.704629509162044525e+07 -1.525000000000000799e-01 4.000000000000000000e+02 -1.042661033516025662e+09 -1.042661039661239982e+09 1.830000000000000071e+00
-1.042661039661239982e+09 1.806990701580734923e+07 -1.550000000000000822e-01 4.000000000000000000e+02 -8.944898661349811554e+08 -8.944898722826954126e+08 4.400000000000000022e-01
-8.944898722826954126e+08 8.004636210517363250e+07 -1.575000000000000844e-01 4.000000000000000000e+02 -6.705346495828163624e+08 -6.705346557330306768e+08 1.110000000000000098e+00
-6.705346557330306768e+08 1.234070361310429275e+08 -1.600000000000000866e-01 4.000000000000000000e+02 -6.564267832650419474e+08 -6.564267894177561998e+08 6.899999999999999467e-01
-6.564267894177561998e+08 6.470632756080203503e+07 -1.625000000000000888e-01 4.000000000000000000e+02 -6.464265873730165958e+08 -6.464265935282309055e+08 1.604999999999999982e+00
-6.464265935282309055e+08 9.878755813814336434e+06 -1.650000000000000910e-01 4.000000000000000000e+02 -6.342671434936940670e+08 -6.342671496514083147e+08 7.750000000000000222e-01
-6.342671496514083147e+08 1.106844032203692012e+07 -1.675000000000000933e-01 4.000000000000000000e+02 -6.142611978937271833e+08 -6.142612040539414883e+08 9.949999999999999956e-01
-6.142612040539414883e+08 1.964303340207189322e+07 -1.700000000000000955e-01 4.000000000000000000e+02 -5.411287439313325882e+08 -5.411287500940468311e+08 1.520000000000000018e+00
