metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.985185990140597045e+00 1.946061807334266591e+00 9.546332041370551025e+00 7.773159470902565316e-01 2.985509172277008361e+01 7.154333408659990963e-03 9.950544277972973362e+00 3.773904091499003487e-03 7.717825975606935174e+00 6.467920513662207327e+00 6.973550755637742071e+00 4.509284025450906341e+00
1.854551268171664713e+00 3.379264492834957778e+00 1.134049987303095186e+01 7.839752136281666894e-01 3.107660640983324640e+01 8.669603688953539736e-03 2.170417477965330022e+01 5.175915761015340705e-04 8.175222583601847504e+00 6.349088084279635780e+00 7.030015821279651078e+00 4.520652519148711690e+00
1.749346797793054797e+00 1.201722897015332769e+01 1.262412618245548046e+01 7.746887551633766522e-01 3.067462446307195734e+01 1.119665566059953191e-03 2.220425849137704688e+01 3.898191668066308506e-03 7.962017630918897027e+00 6.387348776552535412e+00 7.049269793199584910e+00 4.531848394293170657e+00
1.193417632846073717e+00 5.883225767588708521e+00 1.006516814262278636e+01 7.994946448253008597e-01 3.018170038222432794e+01 2.676667809573059394e-03 2.873094979388010017e+01 3.676329623413283768e-04 8.108199025067797550e+00 6.423319825670365191e+00 7.073373869216769805e+00 4.504461587796978250e+00
1.841460900573123727e+00 4.734665623426367098e+00 1.222551910939355935e+01 7.326353495697617291e-01 2.918051610730049106e+01 1.302997456703240513e-04 1.523083508437658828e+01 4.023885392907369015e-04 7.971487427387113911e+00 6.510074758128968853e+00 7.046420909278957367e+00 4.513349863743840729e+00
1.911709029809187221e+00 2.913257672795529718e+00 1.067890636724011877e+01 7.257692235597872354e-01 2.813928079703436680e+01 2.916245678334131088e-03 8.637135609640800737e+00 4.118501521521457202e-03 8.041900370741210224e+00 6.559864634183263377e+00 7.023139660226330960e+00 4.543280923475016664e+00
1.966955652948750410e+00 1.969498046344819731e+00 1.251060705691402219e+01 7.882853558328816179e-01 2.966737627775567177e+01 3.029576691634541796e-02 2.962457747776614880e+01 1.283459394337693824e-03 8.214607527224224270e+00 6.409407468374517691e+00 7.084650060916658276e+00 4.533985131313066574e+00
1.892372395257670981e+00 8.806955560200707467e+00 1.078440943240319427e+01 7.853507693154249125e-01 2.855876440375040204e+01 6.701279913378588131e-03 9.492096019557223485e+00 1.692522261159332565e-03 7.991663152532193948e+00 6.507063102969503632e+00 7.022432865840833927e+00 4.520768729241751771e+00
1.727719911708238465e+00 7.673380631909578753e-01 1.232960876551788054e+01 7.553962042206976424e-01 2.988962290380899844e+01 1.826087339012696931e-02 7.646812814658429325e+00 3.079772376049167652e-03 8.242466670785169924e+00 6.458894332431921015e+00 6.971125344890538145e+00 4.545048534063457879e+00
1.985019056014520888e+00 9.721413606719291778e+00 1.154863312273425002e+01 7.810597801490165581e-01 2.939874489080418840e+01 1.693331889253164857e-02 1.066143779703531180e+01 1.237671616592681727e-03 7.937227369702018365e+00 6.475822245655642462e+00 7.016700717428818734e+00 4.541599849347219831e+00
1.568473505132397472e+00 5.123484139629080225e+00 1.249060835554234927e+01 7.057701682206194427e-01 2.883222311387874726e+01 8.092623351689599495e-03 3.310091316127982708e+01 9.945689662554215230e-04 8.035871371409921693e+00 6.518770250453872706e+00 7.101388413185357962e+00 4.518137469292790698e+00
1.872725378677534636e+00 5.055682679024222637e+00 1.229217201859476916e+01 6.882031950139140264e-01 2.935573227862082746e+01 3.059017540837828762e-03 1.247700977802197997e+01 2.874769437297336038e-03 8.031294414798995973e+00 6.500925433228392336e+00 7.012082648075605107e+00 4.510867059727875272e+00
1.674412181356789375e+00 2.011747168450749523e+00 1.080327058054645661e+01 7.502127753067640015e-01 2.890400004126560418e+01 2.385758304619465912e-03 3.308265350196638366e+01 2.091140235804863495e-03 8.222750918396080522e+00 6.442642591829791598e+00 7.095821644261505412e+00 4.522851692584413996e+00
1.757230837602566265e+00 1.037111849231591876e+01 1.252506911227743380e+01 7.915286474237125391e-01 3.122486784551984584e+01 1.196955506628620720e-02 2.310201830736599860e+01 1.427365237422125680e-03 7.956373202374898312e+00 6.331279620298168709e+00 7.036029432249200966e+00 4.520330140035454747e+00
1.597347856463776861e+00 1.259221457614420103e+01 1.073590718254418519e+01 7.564375104321390264e-01 2.769870730667566150e+01 4.674969127118113084e-03 1.695709482665264645e+01 6.163527769295589062e-04 7.960702810051898837e+00 6.528486613903481839e+00 7.056939726924529310e+00 4.529035977417692038e+00
1.530940261664279767e+00 5.470907791712511514e-01 1.306095983903307989e+01 7.955187865163579897e-01 2.840128634655786755e+01 1.000270042545935850e-02 3.457866262583608119e+01 1.497133011199663585e-04 8.311425230222507565e+00 6.543894220616309099e+00 7.069851712430569535e+00 4.522675566868944230e+00
1.678429246211831760e+00 1.946128792886807402e+00 1.178566821021803435e+01 6.414586331054332735e-01 2.849857076474307149e+01 1.127548174133978162e-02 3.915175926957036268e+01 6.771985002638260601e-03 8.091729106783962067e+00 6.498529294382827004e+00 7.154019591442285275e+00 4.542355233931969494e+00
1.557171500915791817e+00 6.640691166213740892e+00 1.009918737529607569e+01 7.773070201624658893e-01 2.901389699734943761e+01 1.481525643310007074e-03 2.246604896131167806e+01 5.198975722616104751e-03 8.014166204244340008e+00 6.445041050436927321e+00 7.046406911692717046e+00 4.532106992708087034e+00
1.614670027779851580e+00 7.752568999979861708e+00 1.062984346583671069e+01 7.668129209701544102e-01 2.940418624815088933e+01 1.369521133645560870e-02 3.435577549909282169e+01 1.425311226293146834e-04 7.931117971649022991e+00 6.470286560940795795e+00 7.118846618244369040e+00 4.537913366110018387e+00
1.964591499340522018e+00 3.969107312782881536e+00 1.077793030181730316e+01 6.495880667961952959e-01 2.950859341638663125e+01 6.114032897436028416e-03 3.399113149952158608e+01 1.354471903003499336e-04 8.051243878390813791e+00 6.452830014888860433e+00 7.085483817419902408e+00 4.518470943284413011e+00
1.987850026130645320e+00 8.902597569920519760e+00 1.304552819003155761e+01 7.790761568262746239e-01 3.136167149318170289e+01 5.859136750470035106e-03 2.851516471199076719e+01 9.927407691957977533e-04 8.056606831582559636e+00 6.296428700239186327e+00 7.058436987847727551e+00 4.512966667021597544e+00
1.764567752623802832e+00 2.424589400460312461e-01 9.894702857067732893e+00 7.478149530465419970e-01 2.802552756638930020e+01 3.463101919992071787e-03 2.242028140320958585e+01 4.366830886124634971e-04 8.181547770325916957e+00 6.502013172774155692e+00 7.055438209605636501e+00 4.522146303787975441e+00
1.767340828482413917e+00 7.594693672316623179e+00 1.068364384692105773e+01 7.936770202008280872e-01 3.022388121676728900e+01 1.750204833497467222e-02 7.169773435877124790e-01 1.454393175132314472e-03 8.022066454201603136e+00 6.438437192979119317e+00 6.995588553392483533e+00 4.524481638479675993e+00
1.955225209225270433e+00 2.006168001272152335e+00 1.253067056693907588e+01 7.916992283674846309e-01 2.882199319138150173e+01 4.597565538023893304e-03 2.381181453175438989e+01 2.748465741938056414e-03 8.146759952134591032e+00 6.524786937818724653e+00 7.073250381363557437e+00 4.535776374631318220e+00
1.211118743521910623e+00 6.450061006488973625e+00 1.266349535054291309e+01 7.738035846612141277e-01 2.958331367165594017e+01 8.719355482185626744e-04 4.147828262760267393e+00 3.595524719801534465e-03 8.053370429934794572e+00 6.464274852232886559e+00 7.015457912007562413e+00 4.515084122202090100e+00
1.956229290022339029e+00 4.806239835296819862e+00 1.011939472230924864e+01 7.189509347283542517e-01 3.037224201827591230e+01 3.204688988950860681e-03 3.717028069709919436e+01 1.272828905748247337e-04 8.074492756515706304e+00 6.394542313524702593e+00 7.158284963531130529e+00 4.502874438833082138e+00
1.507679531853588939e+00 5.432843015586954039e+00 1.009178717650633317e+01 6.714421604742339955e-01 2.902923459305840481e+01 2.249878472826598644e-04 1.904915531592186895e+01 1.132447398082080722e-03 7.933269575956430231e+00 6.510462748522339638e+00 7.061330661292643640e+00 4.528856083397684529e+00
1.879349576705972247e+00 3.384411060644104907e+00 1.111488694341292671e+01 7.699275918107058025e-01 2.938140417161697826e+01 1.691399881741798353e-02 2.473268691138565600e+01 1.683964487387263394e-03 8.155472136389988691e+00 6.424370479292392133e+00 7.029259548931200641e+00 4.547243603975456239e+00
1.647850437807598656e+00 4.717321646387248602e-01 1.020355420294426807e+01 7.616141589139721058e-01 2.752972976135139405e+01 6.068238467820724104e-03 1.539382059976228412e+01 6.306106858526620146e-03 8.241618353716042122e+00 6.570442440584113086e+00 7.057432688937971932e+00 4.532630869344163926e+00
1.941414680810185311e+00 7.297201135485819279e+00 1.068905250483969205e+01 7.777593760328094241e-01 3.125881543884977987e+01 1.325755444583942219e-02 3.389448886279366491e+01 1.157030374445627363e-03 7.943361430649080290e+00 6.399483929911003344e+00 7.076147098246078571e+00 4.519909082729947514e+00
1.647794023488638793e+00 1.011783492902305781e+01 1.046212679621414132e+01 7.800590710874043543e-01 3.027529564338069434e+01 1.429304074073253121e-03 7.572907586415236203e+00 7.432606626003508167e-03 7.988758749906985202e+00 6.396980162724485552e+00 7.002150087997911498e+00 4.530294286632630119e+00
