#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
1346,52822,116,0.1680428,343.0688,9.327702,16.86328,0.004966396,16.8362,17.39303,0.005212421,17.35659
2649,54212,215,0.1266571,2140.768,24.43323,15.41109,0.004160356,15.32507,15.85122,0.003968924,15.73546
1815,53884,156,0.2695875,295.1519,5.2198,17.85887,0.008075662,17.80223,18.04092,0.007462268,17.9647
1816,53919,420,0.1642324,1217.472,10.53936,17.1857,0.005540646,17.12809,17.50706,0.005559654,17.42953
1817,53851,35,0.2825226,497.5895,6.028819,17.67727,0.007370124,17.61459,17.6995,0.006532325,17.61515
1818,54539,268,0.2681072,592.9573,11.33217,17.63214,0.007162933,17.55042,17.6523,0.006188217,17.54234
1459,53117,225,0.2251981,141.1624,4.959957,17.70679,0.007602996,17.6833,18.13275,0.008118168,18.10113
1460,53138,197,0.2694953,139.8595,4.873445,17.90208,0.008942337,17.87504,18.24181,0.008828053,18.20542
1461,53062,15,0.297337,103.6456,4.453204,18.16863,0.01029091,18.09874,18.40816,0.00962909,18.31411
1461,53062,358,0.2715686,97.5112,3.323974,17.4486,0.007045678,17.42988,17.77843,0.006821922,17.75325
1667,53430,543,0.2508286,15.71955,3.655772,16.64113,0.005293016,16.61954,17.18333,0.006085556,17.15427
2947,54533,473,0.2847331,54.41901,3.56109,17.9518,0.008870019,17.91773,18.22247,0.007948362,18.17663
522,52024,28,0.239459,141.4467,5.469806,17.56845,0.008475784,17.52571,17.84881,0.007657179,17.79129
522,52024,408,0.226549,274.9844,6.874907,16.81872,0.005190398,16.77416,17.24638,0.005328188,17.18641
1317,52765,98,0.2657985,46.20585,6.109749,17.14409,0.006412418,17.12782,17.49016,0.006230132,17.46826
1318,52781,42,0.2985226,473.7039,6.808935,17.55436,0.006538924,17.52745,17.55881,0.005631913,17.52259
1318,52781,242,0.2096186,268.3517,8.015156,17.02932,0.005360572,17.00293,17.47613,0.005482113,17.44061
1318,52781,620,0.2779047,89.90127,4.337484,17.50129,0.007179073,17.48405,17.82061,0.006718004,17.79742
1669,53433,63,0.2932138,719.9677,9.15537,17.69549,0.006939438,17.67444,17.56271,0.005751103,17.53439
1669,53433,240,0.2349069,183.8473,4.522462,17.29989,0.006138104,17.27322,17.68643,0.006318213,17.65054
1651,53442,373,0.2409074,479.9867,6.384694,17.62698,0.007043878,17.58957,17.92096,0.006271932,17.87061
2022,53827,553,0.2069422,72.75501,4.511138,16.87616,0.00577913,16.84655,17.38083,0.006085017,17.34098
2023,53851,192,0.2158535,539.6846,8.496855,17.2362,0.005869279,17.21919,17.51476,0.005388813,17.49186
2024,53503,237,0.2464555,299.1662,5.522201,17.67368,0.007513511,17.64885,17.94012,0.006653064,17.9067
2024,53503,225,0.2318997,39.36084,4.354208,17.52106,0.007406466,17.49678,18.05054,0.007466137,18.01787
922,52426,40,0.2682625,144.7218,4.796475,17.66679,0.007049458,17.51219,17.92948,0.006926477,17.72143
2093,53818,123,0.176481,248.2047,7.612834,16.82396,0.005157134,16.80788,17.19043,0.004994142,17.16879
2239,53726,239,0.1934278,1505.347,12.31685,16.7346,0.005063231,16.71185,17.09468,0.004919646,17.06408
2242,54153,253,0.1830579,589.2766,8.296718,17.25796,0.005887574,17.23387,17.56164,0.005598014,17.52922
2243,53794,585,0.284118,54.28283,4.12951,18.13179,0.009472597,18.10816,18.38985,0.00831508,18.35806
2242,54153,588,0.237003,126.2934,4.715852,17.02379,0.006454393,17.00459,17.53791,0.006300039,17.51207
2242,54153,454,0.2761594,79.36034,3.266365,17.90059,0.009222222,17.8846,18.1278,0.007928905,18.10629
602,52072,91,0.1925539,408.8541,7.176494,17.35688,0.005897028,17.33021,17.6731,0.005569845,17.63721
603,52056,260,0.2183968,190.2026,5.488458,17.10319,0.005764389,17.07468,17.55285,0.006151599,17.51448
604,52079,90,0.1161843,522.8646,14.49147,15.97533,0.003493128,15.94583,16.49679,0.003688183,16.45709
605,52353,120,0.2690632,471.6942,7.157431,17.99884,0.007403795,17.97487,18.07717,0.006875297,18.04491
604,52079,494,0.175201,923.1448,10.09594,17.40646,0.005893679,17.3804,17.81023,0.005889853,17.77516
606,52365,290,0.1808696,194.0835,4.825841,16.78277,0.004827591,16.75628,17.37369,0.005396134,17.33804
608,52081,65,0.2973105,283.6123,5.55627,17.61053,0.007533263,17.59642,17.6977,0.006661959,17.67872
605,52353,568,0.2606139,674.885,9.336993,16.96622,0.005244346,16.93154,17.03867,0.004704721,16.992
607,52368,625,0.2755408,1777.994,11.32278,16.9678,0.005156965,16.93536,16.83275,0.004317587,16.7891
608,52081,168,0.2765597,257.3318,3.867853,18.15647,0.009681576,18.14628,18.29293,0.008067581,18.27922
608,52081,1,0.2102813,59.42062,4.542552,16.38711,0.005003703,16.36788,16.85144,0.004957397,16.82556
2116,53854,520,0.2972019,150.8058,3.513977,17.78126,0.009490218,17.75221,18.00256,0.007903414,17.96347
2120,53852,59,0.187615,854.1714,13.89405,16.0946,0.004102408,16.06918,16.61682,0.004139028,16.58261
2118,53820,564,0.2164237,86.3111,5.036224,17.36271,0.007446791,17.3411,17.87836,0.007160879,17.84928
2119,53792,479,0.1637161,2766.563,25.11764,15.79458,0.004562528,15.76634,16.20722,0.004443545,16.16922
1704,53178,389,0.1992838,243.5901,8.533693,17.52046,0.006742666,17.4922,18.01915,0.007122034,17.98112
1705,53848,133,0.2870272,173.1083,5.405116,17.81631,0.007284308,17.77314,17.84544,0.006442574,17.78734
1709,53533,230,0.2416667,292.4267,5.721087,17.88516,0.00790986,17.83345,18.1699,0.007559176,18.10032
1708,53503,400,0.1972754,238.5981,9.5234,17.33179,0.005918999,17.29354,17.66301,0.005978733,17.61154
2156,54525,193,0.2705555,119.7763,3.992011,17.50563,0.006639391,17.43977,17.70378,0.006010418,17.61515
2160,53885,444,0.2361374,324.7374,6.371229,17.73663,0.007022431,17.68167,18.05964,0.006767768,17.98567
2157,54242,195,0.2046669,2053.386,19.49199,16.54681,0.00491169,16.44615,16.85757,0.004681556,16.72212
2158,54209,114,0.136087,4356.603,27.35454,15.63425,0.004028074,15.56102,16.1504,0.00400443,16.05186
2160,53885,243,0.165382,1675.655,15.78923,16.3481,0.004444828,16.27345,16.69649,0.00424589,16.59604
298,51955,103,0.2960864,159.7934,6.61277,17.89585,0.007447417,17.85059,17.95049,0.006342089,17.88958
1804,53886,633,0.2801969,135.7899,3.978731,18.21032,0.0095031,18.15702,18.43541,0.008796727,18.36368
1807,54175,282,0.2788069,360.7906,4.027853,18.34719,0.009508963,18.3049,18.40472,0.008280994,18.3478
2653,54230,372,0.2904827,170.442,4.320465,18.2731,0.009464587,18.2424,18.43844,0.008183324,18.39713
2651,54507,448,0.2577475,41.14272,3.222587,17.91766,0.008408115,17.89734,18.32061,0.008128644,18.29327
2650,54505,207,0.2825699,152.3747,4.429342,18.52513,0.01077865,18.46879,18.636,0.009108026,18.56018
